pl_name,star_id,hostname,pl_rade,pl_bmasse,pl_eqt,pl_eqt_computed,disc_year,discoverymethod,ra,dec,sy_dist,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_pnum
CoRoT-17 b,14,CoRoT-17,11.43,772.29,1626.0,False,2011,Transit,278.699236,-6.612288,1176.12,3.7681,0.0461,5740.0,1.59,1.04,0.0,1
CoRoT-18 b,15,CoRoT-18,14.68,1102.82,1550.0,False,2011,Transit,98.1724172,-0.0316045,764.889,1.9000693,0.0295,5440.0,1.0,0.95,-0.1,1
CoRoT-19 b,16,CoRoT-19,14.46,352.78,2000.0,False,2011,Transit,97.0335983,-0.1707293,790.663,3.89713,0.0518,6090.0,1.65,1.21,-0.02,1
CoRoT-2 b,17,CoRoT-2,16.432,1102.82,1411.7920616382337,True,2008,Transit,291.7770457,1.3836634,213.283,1.7429935,0.02798,5625.0,0.906,0.96,,1
CoRoT-21 b,18,CoRoT-21,14.5717,718.2958,1870.0315456055769,True,2012,Transit,101.0526207,-0.2991544,,2.72474,0.0417,6200.0,1.95,1.29,0.0,1
CoRoT-22 b,19,CoRoT-22,4.88,12.2,885.0,False,2014,Transit,280.6671392,6.2191669,627.158,9.75598,0.092,5939.0,1.136,1.099,0.17,1
CoRoT-23 b,20,CoRoT-23,11.77,889.9,1660.0,False,2011,Transit,279.7826586,4.3577516,1060.97,3.6313,0.048,5900.0,1.61,1.14,0.05,1
CoRoT-24 b,21,CoRoT-24,3.7,5.7,1070.0,False,2014,Transit,101.922543,-3.7192892,591.555,5.1134,0.056,4950.0,0.86,0.91,0.3,2
CoRoT-24 c,21,CoRoT-24,5.0,28.0,850.0,False,2014,Transit,101.922543,-3.7192892,591.555,11.759,0.098,4950.0,0.86,0.91,0.3,2
CoRoT-25 b,22,CoRoT-25,12.11,85.81,1330.0,False,2013,Transit,280.6296561,6.5138223,1103.48,4.86069,0.0578,6040.0,1.19,1.09,-0.01,1
CoRoT-26 b,23,CoRoT-26,14.12,165.26,1600.0,False,2013,Transit,279.7504991,6.9697828,1045.18,4.20474,0.0526,5590.0,1.79,1.09,0.01,1
CoRoT-27 b,24,CoRoT-27,11.287,3302.11,1500.0,False,2014,Transit,278.4958319,5.5383811,1010.28,3.57532,0.0476,5900.0,1.08,1.05,-0.1,1
CoRoT-28 b,25,CoRoT-28,10.704595,153.82972,1234.1459977135587,True,2015,Transit,278.6883216,5.5736911,766.183,5.20851,0.0603,5150.0,1.78,1.01,0.15,1
CoRoT-29 b,26,CoRoT-29,10.0881,270.1555,1120.2664029289222,True,2015,Transit,278.9020691,6.4795703,806.507,2.85057,0.0386,5260.0,0.9,0.97,0.2,1
CoRoT-30 b,27,CoRoT-30,11.309881,921.707,818.2874409638837,True,2020,Transit,277.6011767,6.8359338,1032.23,9.06005,0.0844,5650.0,0.91,0.98,0.02,1
CoRoT-31 b,28,CoRoT-31,16.36514,266.9772,1522.8363773673482,True,2020,Transit,94.820735,-4.4222978,2005.76,4.62941,0.0586,5700.0,2.15,1.25,0.0,1
CoRoT-32 b,29,CoRoT-32,6.38913,47.6745,938.0,False,2018,Transit,100.1951714,9.2573953,576.683,6.71837,0.071,5970.0,0.79,1.08,0.0,1
CoRoT-35 b,30,CoRoT-35,18.83108758,349.6112477,1747.0,False,2022,Transit,289.3143526,-2.7747085,1123.21,3.22748,0.0429,6390.0,1.65,1.01,-0.5,1
CoRoT-36 b,31,CoRoT-36,15.80466279,216.12331676,1567.0,False,2022,Transit,277.7510149,7.1833465,925.958,5.616531,0.066,6730.0,1.52,1.32,-0.1,1
